Image_Path,Path
H:\Aegis\sroniyan\product sample images\air conditioner,"['concenser', 'condenser fan', 'casing_', 'fan motor', 'lcuver', 'evaporator blower', 'thermostat', 'vent', 'fan control ', 'blower motor _', 'function selectcr', 'evaporator col', 'grille', 'control panel']['acjusable', 'blower', 'pamion', 'juven', 'fan', 'compressor', 'ccntrol panel', 'front', 'condenser', 'tnermcstal shse', 'filter', 'evaporator coil', 'grille']['chimnoyi', 'prossuro roducirg', 'ca', 'pressure (e =', 'wallar racd', 'yalva', 'aqia', 'cpllc', 'suf', 'pr-lumn', 'preaqune""', 'lumoeunt', 'expili: cn', 'qio', 'cqmlatri 5', 'hurr 8 s', 'puitt', 'ijain valve', 'ces vale']['expansion valve', 'evaporator and', 'blower', 'compressor', 'accumulator', 'refrigerant pressure', 'condenser and fan']['condenser fan', 'blower', 'condenser coils', 'controls', 'air inlet grill', 'compressor', 'air outlet grill', 'filter', 'evaporator coils', 'hometips']['indoor uni', 'outdoar unit', 'fronl panel', 'onin', '@2eralonil intoledi', 'fllar', 'dellactont', 'ontonol filler', 'in""olledi', 'emergerg)', 'hukgm', 'led drplay', 'indoor unit totng lobel', 'ni out =t qiiet', 'gas walve', 'qutoo uriit rminn med', 'uquid ""alve', 'signol', 'tecaiai', 'airflow direclion flnpi', 'uov', 'tarminal block cotei', 'damole contol']"
H:\Aegis\sroniyan\product sample images\airoplane,"['parts of an aircraft', 'fin', 'flight deck', 'fuselage', 'cabin', 'tail', 'nose', 'tailplane', 'hold', 'undercarriade', 'jet engine', 'wing']['ventical stabilizer', '(ventical tail)', 'horizontal stabilizer', '(horizontal tail)', 'right', 'wing', 'left', 'engine', 'wing', 'nacelle', 'fuselage']['airplane parts', 'and function', 'vertical stabilizer', 'winglet', 'control yaw', 'decrease', 'aileron', 'rudder', 'change roll', 'change yaw', 'flaps', 'increase lift and drag', 'elevator', 'change pitch', 'fuselage', 'hold plane together;', 'horizontal stabilizer', 'carry payload', 'control pitch', 'wing', 'generate lift', 'slats', 'increase lift', 'spoiler', 'cockpit', 'change lift,', 'command and control', 'turbine engine', 'drag and roll', 'generate thrust', 'dreamjtime.com', 'id 173338168 @ vectormine', '', '', '', 'drag', '', '', '80n80 --', '', '']['national', 'geton', 'space administration', 'ln', 'airplane parts and function', 'horizontal stabilizer', 'vertical stabilizer', 'rudder', 'control   pitch', 'control', 'yaw', 'change yaw', 'winglet', 'decrease drag', 'elevator', 'change   pitch', 'wing', 'generate lift', 'flaps', 'turbine engine', 'increase lift and drag', 'generate thrust', 'aileron', 'change roll', 'cockpit', 'spoiler', 'command and control', 'slats', 'change lift, drag and roll', 'increase lift', 'fuselage', 'hold things together', 'carry payload', 'jom nasacy', 'aulc6']['elevator', 'wing', 'cockpit', 'rudder', 'tail', 'propeller', 'flap', 'spinner', 'aileron', 'engine', 'fuselage', 'credit', 'nasa']"
H:\Aegis\sroniyan\product sample images\bike,"['saddle', 'seat clamp', 'stem', 'drop handlebar', 'seatpost', 'brake hood', 'kippah', 'rim', 'seatpost clamp', 'headset', 'screw', 'tape', 'brake', 'shift lever', 'brake cable', 'frame', 'front wheel', 'assembly', 'calliper brake', 'chambre', 'air', 'rake', 'valve stem', 'rear sprockets', 'pedal crank arm', 'brake pad', 'spoke', 'mountina 0r', 'disc brakes', 'rcun whcel', 'lyre', 'chain', 'hacnnimne', 'ltont wh4', 'wheel hub', '470 7', 'chainrings', 'quick release skewver', 'clavette', 'spoke nipple', 'wheel hub', 'quick release skewver', 'basic bike parts', 'pedal', 'vectorstock', 'vectorstock com/8221606']['bicycle', 'ttandlebars', 'brake lever', 'brake cable', 'crossbar', 'seat', 'rearbrake', 'tontbrake', 'frame', 'front', 'fork', 'crank']['saddle', 'headset  stem', 'brake lever', 'saddle rails', 'handle bars', 'shifter lever', 'dropper', 'seat post', 'top tube', 'head tube', 'seat tube', 'seat stays', 'tire', 'pivots', 'down tube', 'dal', 'shock', 'fork', 'hub', 'thru axle', 'cassette', 'brake caliper', 'brake rotor', 'piqle', 'crank arm', 'nipple', 'rim', 'chain stas', 'chainring', 'rear derailleur', 'spoke', 'drivetrain', 'wheel', 'racing', 'be', 'deby', 'nic', 'ralfh']['saddle', 'saddle rails', 'handle bars (drop bars)', 'brake hoods', 'seat post', 'stem', 'brake leveri', 'headset=', 'shifter lever', 'brake caliper', 'seat stays', 'top tube', 'head tube', 'seat tube', 'tire', 'down tube', 'fork', 'quick-release axle', 'chain stays', 'hub', 'crank arm', 'spoke', 'rear', 'chainrings', 'derailleur', 'front', 'drivetrain', 'derailleur', 'rim', 'wheel', 'an', 'davel']['3', '1', '1', '1', '1', 'saddle_', '2', 'seat post', 'head tube', 'suspension fork', 'wheel', 'discbrake', '83', 'j', '1', 'o', '8', ']', 'i', 'j', 'rear $']"
H:\Aegis\sroniyan\product sample images\boats,"['top', 'port', '(eft}', '[', 'bow', 'stern', 'starboard', '(rignt}', 'side', 'hulll', 'keel', 'bov', 'rudder', 'bottom', 'zonf', 'encvclopadia', 'britannica']['red and', 'bow: front', 'green', 'sidelights', 'boat', 'port: left side', 'boal', 'all-round', 'white light', 'hull: body', 'ol a boal', 'gunwale: upper edge', ""boat's side"", 'stern: rear', 'starboard: right', 'boal', 'side of', 'boat', 'cleat: metal fitting', 'on which', 'rope can', 'be fastened', 'propeller: rotates and powers', 'boat forward or backward']['gieist huuk', 'kice;', 'cappnq', 'head 9 eul:', 'guniale', 'rlopin_', 'mw _', 'srulke', 'strake', 'raukdn', 'thxare', 'tmterc llcors', 'plok', 'gardobrc 5tfakâ‚¬', 'fsng', 'pinj e', 'calnq', 'hol']['windlass', 'forward hatch', 'bow pulpit', 'handrail', 'deck', 'bo', 'midships', 'helm', 'anchor', 'aft port quarter', 'cockpit', 'gunwale', 'cockpit', 'midships', 'stern', 'fender', 'hull', 'cleat', 'aft starboard quarter', 'pog', 'sta rboard']['burgee', 'mast', 'backstay', 'mail sail', 'jib', 'genoa', 'topping', 'lift', 'forestay', 'kicking strap', '(boom vang)', 'boom', 'stern', 'bow', 'rudder', 'hull', 'keel']['mast', 'head of the sail', 'forestay', 'luff', 'leach', 'backstay', 'shroud', 'topping lift', 'tack', 'clew', 'jib', 'mainsail', 'boom', 'pulpit', 'tiller', 'bow', 'hull', 'stern', 'keel', 'rudder']['halyards', 'mast', 'mainsail', 'headsail', '(jib)', 'sheets', 'boom', 'hull', 'keel', 'rudder']"
H:\Aegis\sroniyan\product sample images\cars,"['dooi', '[alllgale', 'seatbelts', 'srs', 'fuel system', 'towbar', 'seats', 'steering', 'suspension', 'wpers', 'washers', 'windscreen', 'exhaust', 'electrical wiring', 'emissions', 'battery', 'lights', 'doors', 'mirrors', 'exhaust system', 'omaijauts', ""youns and dynamic automotlvc platform'"", 'aljauuto com']['parts cacar', 'rearview mirror', 'window frame', 'trunk', 'seal', 'tail light', 'windshield wiper', 'spare wheel', 'sterring wheel', 'windshield washer', 'air iiller', 'wheel', 'battery', 'tce com', 'distributor', 'radialor', 'alternator', 'transmission', 'muffler', 'shaft', 'engineering choice', 'oil', 'disk', 'body side', 'filter', 'brake', 'moulding', 'line']['body work and integral construction:', 'roof panel', 'scaeen', 'cant aail', 'pillar', 'orip moulding', 'quarter panel', 'dash', 'boot apzrture', 'body quarter', 'wheel arch', 'valance', 'bulkhead', 'rear', 'bulkhead', 'sill', 'scuttle', 'centre pillar', 'body.', 'acar']['mirrors', 'hoods', 'tailgates', 'trunk lids', 'header &', 'nose panels', 'tail', 'radiator', 'lights', 'supports', 'step', 'bumpers', 'grilles', 'a/c', 'condensers', 'bumpers', 'fenders', 'doors', 'headlights', 'radiators']['english', 'parts of', 'a car', 'vocabulary_', 'steering & suspension', 'roof', 'seats', 'rear-view mirror', 'window', 'boot /tailgate', 'windshield (us)', '0 `', 'hood (us)', 'handle', 'headlight', 'outside mirror', 'license', 'door', 'bumpers', 'turn signal', 'wheel', 'tire', '(us)', '(us)', 'www englishstudyonline.org', 'qra', 'une', 'ay l', 'vests', 'plate', 'vyondine', 'ihstu']"
H:\Aegis\sroniyan\product sample images\cutter,"['blade adjustment', 'handle grips', 'bolts', 'blades', 'handle stops', '600', 'tool neck', 'jaws (details of joints below)', 'handles']['joint', 'handles', 'jaws', 'blade']['jaws', 'pvc', 'coating', 'cutting', 'edge', 'fulcrum', 'return', '(axis of', 'spring', 'rotation)', 'handle']['toggle', 'cini', 'cutting edge', 'pwat poiri', 'pvc hanzle', 'secondary lever', 'leeve', 'pcin:', 'jaws', 'pwvat poirt', 'handle', 'spring return', 'tnemrpasic rubber handle']['blade', 'handles', 'gouqt', 'pre-stressed cutting slots']"
H:\Aegis\sroniyan\product sample images\microwave,"['ldiucirr', 'wjrsiig', 'm r', 'cenatul', 'mreelig', 'cnicto', 'mdnmnttt']['srigrer', 'wavenuide', 'kanr -tor', 'ccoking', 'ca', 'turniable', 'daorand choky']['aooiqu', 'ale mlo', 'maetenl', 'iil0mnte', 'alr totd', 'miznctrn', 'hitletnz', 'cloeent', 'benatcantan', 'mctet', 'wnt ', 'atc']['bcarealev #nitch', 'ava', 'cata']['microwave oven', 'cooking chamber', 'waveguide', 'cavity', 'quu;ou ^', 'magnetron', 'capacitor', 'transformer']"
H:\Aegis\sroniyan\product sample images\motorbike,"['parts of a motorcycle', 'gas tank', 'spark advance', 'ignition switch', 'engine', 'horn', 'hand clutch', 'speedometer', 'seat', 'headlight', 'fender', 'rubber fork', 'boots', 'tail and stop', 'light', 'spring forks', 'brake rod', 'brake cable', 'muffler', 'brakes', 'balloon tire', 'oil tank', 'foot rest', 'exhaust pipes', 'ignition circuit breaker', 'rear-wheel shock absorber', 'generator and', 'voltage regulator', 'starter pedal', 'foot gear shift', 'bar', 'safety']['notorcyqe', 'win dhidd', 'frolmmadam', 'clutch cobk', 'foxscnge', 'hnd grip', 'throlille coble', 'fua tank', 'lght', 'lunguga roct', 'wgnci', 'plok', 'irdicolo', 'scadk boa', '~sidc rlleclor', 'iail light -', 'fendes', 'cawl &lay -ticd', 'gntha', 'cetn', 'dixt broaa', 'exkaust pipe', 'crrd', 'maecore', 'gruth']['uipkc ', 'cas tanc', 'vundepann', '8cck', 'poht', 'fo6<?', 'manpinta', 'ehus', 'lnci', 'f8', 'dki chaix', 'bra<e', 'jirg']['gas tank', 'speedometer', 'handlebars', 'seat', 'headlight', 'saddlebag', 'hydraulic', 'forks', 'brake', 'cable', 'brake', 'tire', 'rotor', 'wheel', 'rear foot', 'rim', 'rest', 'exhaust', 'rear', 'engine', 'pipe', 'brake']['motorcycle parts', 'front brake', 'master cylinder', 'taillight', 'grab handle', 'seat', 'fuel tank', 'bar-end', 'handlebar', 'windscreen', 'rear view', 'weight', 'mirrors', 'front brake', 'lever', 'mumber plate', 'holder', 'headlight', 'indicator', 'tire hugger', 'front fairing', 'rear brake', 'master cylinder', 'front fender', 'front forks', 'exhaust', 'pipe/muffler', 'disc brake', 'rotor', 'rear footpeg', 'tire', 'swingarm', 'rim', 'heel plate', 'front footpeg', 'frame', 'rear brake', 'transmission', 'engine', 'brake lines', 'brake caliper', 'pedal']"
H:\Aegis\sroniyan\product sample images\phone,"['speker', 'irame', 'display screen', 'frame', 'display screen', 'navigation', 'secondary keypad', 'primary keypad', 'body framie', 'body contour', 'showing', 'elements', 'elemenls', 'logo', 'loge', 'key', 'frimary']['ldn@mlcsdg aa', 'faamana', 'klceta', 'suap toliut', 'prorinita setist', 'w-miai', 'nvatt/dbka', 'enenalsneaatt', 'anti hre;', 'disput', 'micr-soman', 'quc kith', '""tnukt 0 60', 'hictochca', 'hace']['lecr [ upot', '40j0go', 'tn ertn', 'anwlnim', 'cimir coc', 'reueli', 'la authc', 'lo']['front facing', 'ear speaker', 'rear camera', 'long range wiifi antemha', 'camera and', 'ambient semsor', '@z', '2', '8', '@', '2', 'screem', 'battery', 'short range', 'wifi amtenna', 'hohe buttom', 'taptic engine', 'loud spearer']['mobile phone pcb diagram', 'wwwmobilecellphonerepairing.com', 'antenna point', 'pfo ipa', 'on', 'off switch', 'bsi', 'antenna switch', 'notes:', 'network', 'rx filter', 'uem', 'section', 'logic ic', 'network ic', 'vco', 'charging', 'audio', 'povver ic', 'audio ic', 'pfo =', 'power ic', 'antenna', 'rtc', 'svvitch', 'pfo', 'charging ic', 'flash ic', 'power', 'cpu', 'flash ic', 'section', 'ram', 'ram', 'flash', 'r22', 'ui module', 'logic ic', 'mic interface', 'buzzer interface']"
H:\Aegis\sroniyan\product sample images\refrigerator,"['seinee', '{atonjira', ""hat â‚¬ 7aibl 8340tio'""]['water dispenser', 'freezer room', '(optional)', 'ice', 'refrigerator room', 'temperature', 'fresh zone', 'control knob/', 'for fresh meat', 'defrost button', 'lamp cover', 'shelves', 'door bin', 'drip tray', 'vegetable box', 'levelling screw', 'back view', 'tray']['suction shutoff', 'suction valve', 'discharge header', 'valve', 'plate', 'safety spring', 'discharge valve', 'header assty:', 'relief valve', 'motor stator', '(high to low)', 'motor rotor', 'discharge', 'shutoff valve', 'pressure and', 'scavenger oil', 'pump assembly', 'oil filter', 'oil pump', 'scavenger oil', 'suction strainers', 'oil charging', 'strainer', 'strainer', 'and drain valve', 'crankcase heater', 'well (two used)']['door stop', 'freezer door', 'magnetic gasket', 'freezer compartment', 'ice cube tray', 'thermostat control', 'switch', 'egg', 'butter compartment', 'dairy compartment', 'meat keeper', 'storage door', 'shelf channel', 'door shelf', 'refridgerator compartment', 'shelf', 'guard rail', 'glass cover', 'crisper', 'teervl', 'tray']['on ceiling of', 'refrigerator', 'on interior wall ', 'on door frame', 'behind crisper', 'drawer', 'behind kickplate']"
